"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230113T183125_20230113T183152_046769_059B5C_7FF2","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46769","147","170","2023-01-13T18:31:52.000000","2023-01-13T18:31:25.000000","SLC","2023-01-13T18:31:25.000000","2023-01-13T18:31:52.000000","53.0688","-11.0937","52.041119","-12.716773","52.447861","-8.972656","53.657089","-13.273666","54.067398","-9.383836","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230113T183125_20230113T183152_046769_059B5C_7FF2.zip","3965.6854209899902","","","0","S1A_IWDV_0169_0176_046769_147","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230113T183100_20230113T183128_046769_059B5C_FBFB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46769","147","165","2023-01-13T18:31:28.000000","2023-01-13T18:31:00.000000","SLC","2023-01-13T18:31:00.000000","2023-01-13T18:31:28.000000","51.5848","-10.6562","50.558807","-12.227655","50.962833","-8.606817","52.176147","-12.759762","52.582977","-9.005059","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230113T183100_20230113T183128_046769_059B5C_FBFB.zip","3960.0711784362793","","","0","S1A_IWDV_0164_0171_046769_147","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230113T183036_20230113T183103_046769_059B5C_E1EF","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46769","147","160","2023-01-13T18:31:03.000000","2023-01-13T18:30:36.000000","SLC","2023-01-13T18:30:36.000000","2023-01-13T18:31:03.000000","50.0992","-10.2386","49.074295","-11.762974","49.47657","-8.25374","50.693005","-12.273281","51.097412","-8.640729","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230113T183036_20230113T183103_046769_059B5C_E1EF.zip","3834.6707944869995","","","0","S1A_IWDV_0159_0166_046769_147","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230110T065633_20230110T065700_046718_0599B2_3FAF","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46718","96","422","2023-01-10T06:57:00.000000","2023-01-10T06:56:33.000000","SLC","2023-01-10T06:56:33.000000","2023-01-10T06:57:00.000000","51.0325","-10.8262","51.626606","-8.782743","52.02404","-12.425595","50.014523","-9.302032","50.409538","-12.817824","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230110T065633_20230110T065700_046718_0599B2_3FAF.zip","3914.058621406555","","","0","S1A_IWDV_0421_0428_046718_096","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230110T065608_20230110T065635_046718_0599B2_E9EC","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46718","96","417","2023-01-10T06:56:35.000000","2023-01-10T06:56:08.000000","SLC","2023-01-10T06:56:08.000000","2023-01-10T06:56:35.000000","52.5173","-10.3981","53.108498","-8.282575","53.508835","-12.052993","51.497955","-8.825093","51.895168","-12.457375","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230110T065608_20230110T065635_046718_0599B2_E9EC.zip","4025.5929412841797","","","0","S1A_IWDV_0417_0422_046718_096","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230108T182300_20230108T182327_046696_0598EB_8B76","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46696","74","168","2023-01-08T18:23:27.000000","2023-01-08T18:23:00.000000","SLC","2023-01-08T18:23:00.000000","2023-01-08T18:23:27.000000","52.3658","-8.8229","51.339203","-10.418851","51.74387","-6.739105","52.955967","-10.96335","53.363815","-7.143835","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230108T182300_20230108T182327_046696_0598EB_8B76.zip","4343.758213996887","","","0","S1A_IWDV_0168_0173_046696_074","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230108T182235_20230108T182302_046696_0598EB_E11D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46696","74","163","2023-01-08T18:23:02.000000","2023-01-08T18:22:35.000000","SLC","2023-01-08T18:22:35.000000","2023-01-08T18:23:02.000000","50.8803","-8.3974","49.854977","-9.944446","50.257607","-6.381043","51.473293","-10.465804","51.878387","-6.773773","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230108T182235_20230108T182302_046696_0598EB_E11D.zip","3969.099410057068","","","0","S1A_IWDV_0162_0169_046696_074","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T064822_20230105T064849_046645_059740_3BBB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46645","23","422","2023-01-05T06:48:49.000000","2023-01-05T06:48:22.000000","SLC","2023-01-05T06:48:22.000000","2023-01-05T06:48:49.000000","50.9076","-8.7676","51.496517","-6.688699","51.90387","-10.403257","49.883698","-7.209102","50.288563","-10.794554","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T064822_20230105T064849_046645_059740_3BBB.zip","3750.746066093445","","","0","S1A_IWDV_0423_0428_046645_023","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T064757_20230105T064824_046645_059740_D173","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46645","23","417","2023-01-05T06:48:24.000000","2023-01-05T06:47:57.000000","SLC","2023-01-05T06:47:57.000000","2023-01-05T06:48:24.000000","52.3923","-8.3408","52.978317","-6.189166","53.38855","-10.032658","51.367172","-6.732717","51.7742","-10.435907","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T064757_20230105T064824_046645_059740_D173.zip","4302.794509887695","","","0","S1A_IWDV_0418_0423_046645_023","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230101T183126_20230101T183153_046594_05957C_5D72","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46594","147","170","2023-01-01T18:31:53.000000","2023-01-01T18:31:26.000000","SLC","2023-01-01T18:31:26.000000","2023-01-01T18:31:53.000000","53.069","-11.0943","52.04142","-12.717481","52.448124","-8.973333","53.657146","-13.274253","54.067421","-9.384409","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230101T183126_20230101T183153_046594_05957C_5D72.zip","3700.92355632782","","","0","S1A_IWDV_0169_0176_046594_147","","","","","","","","","","",""
