"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230114T062232_20230114T062259_046776_059B9B_19FB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","409","2023-01-14T06:22:59.000000","2023-01-14T06:22:32.000000","SLC","2023-01-14T06:22:32.000000","2023-01-14T06:22:59.000000","54.9557","-1.3965","55.535198","0.902264","55.953022","-3.201986","53.927158","0.31143","54.340309","-3.629549","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062232_20230114T062259_046776_059B9B_19FB.zip","4280.70133972168","","","0","S1A_IWDV_0409_0414_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175119_20230112T175147_046754_059AE5_003A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","182","2023-01-12T17:51:47.000000","2023-01-12T17:51:19.000000","SLC","2023-01-12T17:51:19.000000","2023-01-12T17:51:47.000000","56.8195","-1.9766","55.762363","-3.728385","56.175823","0.351373","57.424786","-4.382007","57.844345","-0.115014","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175119_20230112T175147_046754_059AE5_003A.zip","4175.494143486023","","","0","S1A_IWDV_0182_0188_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175054_20230112T175121_046754_059AE5_EADD","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","177","2023-01-12T17:51:21.000000","2023-01-12T17:50:54.000000","SLC","2023-01-12T17:50:54.000000","2023-01-12T17:51:21.000000","55.3094","-1.4811","54.283527","-3.18052","54.692581","0.748226","55.890488","-3.777269","56.304375","0.316231","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175054_20230112T175121_046754_059AE5_EADD.zip","4118.366417884827","","","0","S1A_IWDV_0177_0183_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T063855_20230112T063923_046747_059AAA_0A4F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46747","125","408","2023-01-12T06:39:23.000000","2023-01-12T06:38:55.000000","SLC","2023-01-12T06:38:55.000000","2023-01-12T06:39:23.000000","55.1626","-5.433","55.770164","-3.114626","56.188282","-7.235499","54.105591","-3.731127","54.518715","-7.681192","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T063855_20230112T063923_046747_059AAA_0A4F.zip","4218.114918708801","","","0","S1A_IWDV_0408_0414_046747_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T063831_20230112T063858_046747_059AAA_957D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46747","125","403","2023-01-12T06:38:58.000000","2023-01-12T06:38:31.000000","SLC","2023-01-12T06:38:31.000000","2023-01-12T06:38:58.000000","56.6728","-4.9389","57.247063","-2.534343","57.670624","-6.822274","55.64217","-3.163421","56.059856","-7.270513","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T063831_20230112T063858_046747_059AAA_957D.zip","4148.084496498108","","","0","S1A_IWDV_0403_0409_046747_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T063043_20230107T063110_046674_059821_A7EA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46674","52","408","2023-01-07T06:31:10.000000","2023-01-07T06:30:43.000000","SLC","2023-01-07T06:30:43.000000","2023-01-07T06:31:10.000000","55.179","-3.383","55.757416","-1.068398","56.176414","-5.201064","54.150021","-1.663835","54.564198","-5.630876","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T063043_20230107T063110_046674_059821_A7EA.zip","4322.346139907837","","","0","S1A_IWDV_0408_0414_046674_052","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T063018_20230107T063045_046674_059821_878A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46674","52","403","2023-01-07T06:30:45.000000","2023-01-07T06:30:18.000000","SLC","2023-01-07T06:30:18.000000","2023-01-07T06:30:45.000000","56.6612","-2.9074","57.235874","-0.499522","57.659531","-4.794981","55.62981","-1.128027","56.04763","-5.242281","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T063018_20230107T063045_046674_059821_878A.zip","4216.28168296814","","","0","S1A_IWDV_0403_0409_046674_052","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T175931_20230105T175958_046652_05977B_986A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46652","30","182","2023-01-05T17:59:58.000000","2023-01-05T17:59:31.000000","SLC","2023-01-05T17:59:31.000000","2023-01-05T17:59:58.000000","56.6213","-3.9744","55.589302","-5.733748","56.003738","-1.658798","57.200737","-6.362932","57.620968","-2.108155","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T175931_20230105T175958_046652_05977B_986A.zip","4281.988791465759","","","0","S1A_IWDV_0181_0188_046652_030","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T175906_20230105T175933_046652_05977B_B72D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46652","30","177","2023-01-05T17:59:33.000000","2023-01-05T17:59:06.000000","SLC","2023-01-05T17:59:06.000000","2023-01-05T17:59:33.000000","55.14","-3.4891","54.110184","-5.186453","54.52013","-1.262421","55.724201","-5.782537","56.138912","-1.694222","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T175906_20230105T175933_046652_05977B_B72D.zip","4362.915463447571","","","0","S1A_IWDV_0176_0183_046652_030","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230102T062233_20230102T062300_046601_0595BA_C8A1","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46601","154","409","2023-01-02T06:23:00.000000","2023-01-02T06:22:33.000000","SLC","2023-01-02T06:22:33.000000","2023-01-02T06:23:00.000000","54.9555","-1.3989","55.534904","0.899819","55.952671","-3.204397","53.927105","0.30914","54.340202","-3.631829","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230102T062233_20230102T062300_046601_0595BA_C8A1.zip","4159.384062767029","","","0","S1A_IWDV_0409_0414_046601_154","","","","","","","","","","",""
