"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230112T175210_20230112T175237_046754_059AE5_4A45","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","193","2023-01-12T17:52:37.000000","2023-01-12T17:52:10.000000","SLC","2023-01-12T17:52:10.000000","2023-01-12T17:52:37.000000","59.8046","-3.0402","58.766796","-4.943033","59.192291","-0.509559","60.372948","-5.660274","60.806946","-1.006703","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175210_20230112T175237_046754_059AE5_4A45.zip","3805.093454360962","","","0","S1A_IWDV_0192_0198_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175145_20230112T175212_046754_059AE5_B4D4","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","188","2023-01-12T17:52:12.000000","2023-01-12T17:51:45.000000","SLC","2023-01-12T17:51:45.000000","2023-01-12T17:52:12.000000","58.3258","-2.4981","57.291092","-4.327823","57.71011","-0.076633","58.900532","-5.000868","59.326683","-0.549928","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175145_20230112T175212_046754_059AE5_B4D4.zip","3786.6331005096436","","","0","S1A_IWDV_0188_0193_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T063806_20230112T063833_046747_059AAA_EE3E","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46747","125","398","2023-01-12T06:38:33.000000","2023-01-12T06:38:06.000000","SLC","2023-01-12T06:38:06.000000","2023-01-12T06:38:33.000000","58.1525","-4.4287","58.721424","-1.918636","59.151554","-6.390141","57.11919","-2.585644","57.542259","-6.858607","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T063806_20230112T063833_046747_059AAA_EE3E.zip","3855.923089027405","","","0","S1A_IWDV_0398_0404_046747_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T063741_20230112T063808_046747_059AAA_35ED","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46747","125","393","2023-01-12T06:38:08.000000","2023-01-12T06:37:41.000000","SLC","2023-01-12T06:37:41.000000","2023-01-12T06:38:08.000000","59.6312","-3.8888","60.194603","-1.261418","60.632599","-5.935574","58.593929","-1.97266","59.023495","-6.427901","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T063741_20230112T063808_046747_059AAA_35ED.zip","3423.750690460205","","","0","S1A_IWDV_0393_0398_046747_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T174407_20230107T174434_046681_059865_3D85","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46681","59","195","2023-01-07T17:44:34.000000","2023-01-07T17:44:07.000000","SLC","2023-01-07T17:44:07.000000","2023-01-07T17:44:34.000000","60.4159","-1.2228","59.375671","-3.16372","59.805523","1.363176","60.980835","-3.901915","61.419857","0.855058","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T174407_20230107T174434_046681_059865_3D85.zip","3554.8688020706177","","","0","S1A_IWDV_0194_0201_046681_059","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T174342_20230107T174409_046681_059865_C313","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46681","59","190","2023-01-07T17:44:09.000000","2023-01-07T17:43:42.000000","SLC","2023-01-07T17:43:42.000000","2023-01-07T17:44:09.000000","58.9382","-0.667","57.901615","-2.532214","58.324463","1.804497","59.509457","-3.223124","59.940006","1.321986","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T174342_20230107T174409_046681_059865_C313.zip","3624.584939956665","","","0","S1A_IWDV_0189_0196_046681_059","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T062953_20230107T063020_046674_059821_9B0A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46674","52","398","2023-01-07T06:30:20.000000","2023-01-07T06:29:53.000000","SLC","2023-01-07T06:29:53.000000","2023-01-07T06:30:20.000000","58.1408","-2.3911","58.710011","0.124495","59.140827","-4.358726","57.106258","-0.542427","57.530033","-4.826484","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T062953_20230107T063020_046674_059821_9B0A.zip","3878.032476425171","","","0","S1A_IWDV_0398_0404_046674_052","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T062928_20230107T062955_046674_059821_0AF7","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46674","52","393","2023-01-07T06:29:55.000000","2023-01-07T06:29:28.000000","SLC","2023-01-07T06:29:28.000000","2023-01-07T06:29:55.000000","59.6192","-1.8484","60.182091","0.785524","60.62109","-3.902757","58.581013","0.074679","59.011585","-4.394063","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T062928_20230107T062955_046674_059821_0AF7.zip","3794.1726474761963","","","0","S1A_IWDV_0393_0399_046674_052","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T180020_20230105T180048_046652_05977B_9987","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46652","30","192","2023-01-05T18:00:48.000000","2023-01-05T18:00:20.000000","SLC","2023-01-05T18:00:20.000000","2023-01-05T18:00:48.000000","59.6045","-5.0321","58.541302","-6.921875","58.967552","-2.501277","60.19751","-7.65555","60.632378","-3.010242","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T180020_20230105T180048_046652_05977B_9987.zip","4038.348977088928","","","0","S1A_IWDV_0191_0198_046652_030","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T175955_20230105T180022_046652_05977B_118C","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46652","30","187","2023-01-05T18:00:22.000000","2023-01-05T17:59:55.000000","SLC","2023-01-05T17:59:55.000000","2023-01-05T18:00:22.000000","58.1013","-4.4844","57.066322","-6.310744","57.486145","-2.070912","58.675587","-6.978001","59.102386","-2.540664","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T175955_20230105T180022_046652_05977B_118C.zip","4063.303539276123","","","0","S1A_IWDV_0186_0193_046652_030","","","","","","","","","","",""
