"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230114T062347_20230114T062415_046776_059B9B_7233","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","424","2023-01-14T06:24:15.000000","2023-01-14T06:23:47.000000","SLC","2023-01-14T06:23:47.000000","2023-01-14T06:24:15.000000","50.4495","-2.7346","51.042152","-0.672629","51.449215","-4.356661","49.422485","-1.188226","49.827271","-4.745646","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062347_20230114T062415_046776_059B9B_7233.zip","4254.9652643203735","","","0","S1A_IWDV_0423_0430_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230114T062323_20230114T062350_046776_059B9B_1798","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","419","2023-01-14T06:23:50.000000","2023-01-14T06:23:23.000000","SLC","2023-01-14T06:23:23.000000","2023-01-14T06:23:50.000000","51.9346","-2.3136","52.524742","-0.180741","52.93441","-3.99038","50.906223","-0.718857","51.31292","-4.390963","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062323_20230114T062350_046776_059B9B_1798.zip","4533.614031791687","","","0","S1A_IWDV_0419_0424_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175005_20230112T175032_046754_059AE5_70D5","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","168","2023-01-12T17:50:32.000000","2023-01-12T17:50:05.000000","SLC","2023-01-12T17:50:05.000000","2023-01-12T17:50:32.000000","52.3438","-0.5727","51.321751","-2.161722","51.724319","1.501383","52.931942","-2.70287","53.337627","1.098688","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175005_20230112T175032_046754_059AE5_70D5.zip","4476.425297737122","","","0","S1A_IWDV_0167_0173_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T174940_20230112T175007_046754_059AE5_AA70","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","163","2023-01-12T17:50:07.000000","2023-01-12T17:49:40.000000","SLC","2023-01-12T17:49:40.000000","2023-01-12T17:50:07.000000","50.8588","-0.1464","49.837982","-1.68638","50.238411","1.860192","51.449707","-2.204518","51.852547","1.469447","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T174940_20230112T175007_046754_059AE5_AA70.zip","4282.936299324036","","","0","S1A_IWDV_0162_0168_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T174915_20230112T174942_046754_059AE5_7AD5","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","158","2023-01-12T17:49:42.000000","2023-01-12T17:49:15.000000","SLC","2023-01-12T17:49:15.000000","2023-01-12T17:49:42.000000","49.3736","0.2672","48.353813","-1.226641","48.752438","2.211155","49.967102","-1.724258","50.367504","1.830955","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T174915_20230112T174942_046754_059AE5_7AD5.zip","4428.880555152893","","","0","S1A_IWDV_0157_0163_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230109T061553_20230109T061620_046703_059923_1134","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46703","81","428","2023-01-09T06:16:20.000000","2023-01-09T06:15:53.000000","SLC","2023-01-09T06:15:53.000000","2023-01-09T06:16:20.000000","49.338","-0.9862","49.932484","1.026411","50.337822","-2.569652","48.311729","0.52607","48.715263","-2.950825","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230109T061553_20230109T061620_046703_059923_1134.zip","4252.00049495697","","","0","S1A_IWDV_0428_0433_046703_081","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230109T061528_20230109T061555_046703_059923_B469","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46703","81","423","2023-01-09T06:15:55.000000","2023-01-09T06:15:28.000000","SLC","2023-01-09T06:15:28.000000","2023-01-09T06:15:55.000000","50.824","-0.5761","51.416348","1.502912","51.823826","-2.211299","49.796543","0.981891","50.20158","-2.603048","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230109T061528_20230109T061555_046703_059923_B469.zip","4311.620638847351","","","0","S1A_IWDV_0423_0428_046703_081","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230109T061503_20230109T061530_046703_059923_8858","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46703","81","418","2023-01-09T06:15:30.000000","2023-01-09T06:15:03.000000","SLC","2023-01-09T06:15:03.000000","2023-01-09T06:15:30.000000","52.3092","-0.1503","52.898216","2.001125","53.30854","-1.841762","51.281067","1.457358","51.688236","-2.245142","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230109T061503_20230109T061530_046703_059923_8858.zip","4481.2380266189575","","","0","S1A_IWDV_0418_0423_046703_081","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T175815_20230105T175843_046652_05977B_DF65","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46652","30","167","2023-01-05T17:58:43.000000","2023-01-05T17:58:15.000000","SLC","2023-01-05T17:58:15.000000","2023-01-05T17:58:43.000000","52.1478","-2.58","51.096207","-4.159172","51.499962","-0.501727","52.764267","-4.716848","53.171173","-0.917077","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T175815_20230105T175843_046652_05977B_DF65.zip","4633.904817581177","","","0","S1A_IWDV_0166_0173_046652_030","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T175750_20230105T175817_046652_05977B_144D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46652","30","162","2023-01-05T17:58:17.000000","2023-01-05T17:57:50.000000","SLC","2023-01-05T17:57:50.000000","2023-01-05T17:58:17.000000","50.6335","-2.1485","49.611481","-3.687394","50.013256","-0.145004","51.224274","-4.202988","51.628384","-0.534256","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T175750_20230105T175817_046652_05977B_144D.zip","4115.330669403076","","","0","S1A_IWDV_0161_0168_046652_030","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T175726_20230105T175752_046652_05977B_B25F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46652","30","157","2023-01-05T17:57:52.000000","2023-01-05T17:57:26.000000","SLC","2023-01-05T17:57:26.000000","2023-01-05T17:57:52.000000","49.1476","-1.7383","48.127499","-3.232043","48.527676","0.203337","49.739872","-3.726884","50.141758","-0.17514","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T175726_20230105T175752_046652_05977B_B25F.zip","4071.0567474365234","","","0","S1A_IWDV_0156_0163_046652_030","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230102T062348_20230102T062415_046601_0595BA_A7AE","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46601","154","424","2023-01-02T06:24:15.000000","2023-01-02T06:23:48.000000","SLC","2023-01-02T06:23:48.000000","2023-01-02T06:24:15.000000","50.4492","-2.7368","51.041962","-0.674804","51.448978","-4.358836","49.422165","-1.190388","49.826904","-4.747797","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230102T062348_20230102T062415_046601_0595BA_A7AE.zip","4008.1112670898438","","","0","S1A_IWDV_0423_0430_046601_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230102T062324_20230102T062351_046601_0595BA_AF96","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46601","154","419","2023-01-02T06:23:51.000000","2023-01-02T06:23:24.000000","SLC","2023-01-02T06:23:24.000000","2023-01-02T06:23:51.000000","51.9347","-2.3157","52.524433","-0.183011","52.934052","-3.992639","50.906769","-0.720792","51.313419","-4.392956","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230102T062324_20230102T062351_046601_0595BA_AF96.zip","4431.36305141449","","","0","S1A_IWDV_0419_0424_046601_154","","","","","","","","","","",""
