"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230114T062257_20230114T062325_046776_059B9B_E3C6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","414","2023-01-14T06:23:25.000000","2023-01-14T06:22:57.000000","SLC","2023-01-14T06:22:57.000000","2023-01-14T06:23:25.000000","53.4439","-1.8616","54.055885","0.361204","54.469627","-3.593826","52.38829","-0.220697","52.79813","-4.020956","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062257_20230114T062325_046776_059B9B_E3C6.zip","4619.409255981445","","","0","S1A_IWDV_0414_0419_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230114T062232_20230114T062259_046776_059B9B_19FB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","409","2023-01-14T06:22:59.000000","2023-01-14T06:22:32.000000","SLC","2023-01-14T06:22:32.000000","2023-01-14T06:22:59.000000","54.9557","-1.3965","55.535198","0.902264","55.953022","-3.201986","53.927158","0.31143","54.340309","-3.629549","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062232_20230114T062259_046776_059B9B_19FB.zip","4280.70133972168","","","0","S1A_IWDV_0409_0414_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175054_20230112T175121_046754_059AE5_EADD","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","177","2023-01-12T17:51:21.000000","2023-01-12T17:50:54.000000","SLC","2023-01-12T17:50:54.000000","2023-01-12T17:51:21.000000","55.3094","-1.4811","54.283527","-3.18052","54.692581","0.748226","55.890488","-3.777269","56.304375","0.316231","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175054_20230112T175121_046754_059AE5_EADD.zip","4118.366417884827","","","0","S1A_IWDV_0177_0183_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175029_20230112T175056_046754_059AE5_DCFA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","172","2023-01-12T17:50:56.000000","2023-01-12T17:50:29.000000","SLC","2023-01-12T17:50:29.000000","2023-01-12T17:50:56.000000","53.8271","-1.0174","52.803413","-2.659638","53.208885","1.130796","54.411938","-3.226821","54.821331","0.714451","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175029_20230112T175056_046754_059AE5_DCFA.zip","4306.082714080811","","","0","S1A_IWDV_0172_0178_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230109T061438_20230109T061505_046703_059923_376A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46703","81","413","2023-01-09T06:15:05.000000","2023-01-09T06:14:38.000000","SLC","2023-01-09T06:14:38.000000","2023-01-09T06:15:05.000000","53.7927","0.2943","54.378021","2.525594","54.792099","-1.458465","52.763039","1.955839","53.173149","-1.875323","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230109T061438_20230109T061505_046703_059923_376A.zip","4139.667110443115","","","0","S1A_IWDV_0413_0418_046703_081","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230109T061412_20230109T061440_046703_059923_931D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46703","81","408","2023-01-09T06:14:40.000000","2023-01-09T06:14:12.000000","SLC","2023-01-09T06:14:12.000000","2023-01-09T06:14:40.000000","55.3004","0.767","55.907822","3.097981","56.326736","-1.046197","54.242413","2.478556","54.656261","-1.492939","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230109T061412_20230109T061440_046703_059923_931D.zip","3956.014471054077","","","0","S1A_IWDV_0408_0413_046703_081","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T174252_20230107T174319_046681_059865_6A11","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46681","59","180","2023-01-07T17:43:19.000000","2023-01-07T17:42:52.000000","SLC","2023-01-07T17:42:52.000000","2023-01-07T17:43:19.000000","55.9782","0.3544","54.947674","-1.376704","55.359837","2.629451","56.559631","-1.990656","56.977119","2.188208","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T174252_20230107T174319_046681_059865_6A11.zip","3665.6627130508423","","","0","S1A_IWDV_0179_0186_046681_059","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T174227_20230107T174254_046681_059865_07CE","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46681","59","175","2023-01-07T17:42:54.000000","2023-01-07T17:42:27.000000","SLC","2023-01-07T17:42:27.000000","2023-01-07T17:42:54.000000","54.4705","0.8361","53.41642","-0.825752","53.824505","3.031377","55.081757","-1.426379","55.49432","2.593494","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T174227_20230107T174254_046681_059865_07CE.zip","3919.969690322876","","","0","S1A_IWDV_0174_0181_046681_059","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T063043_20230107T063110_046674_059821_A7EA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46674","52","408","2023-01-07T06:31:10.000000","2023-01-07T06:30:43.000000","SLC","2023-01-07T06:30:43.000000","2023-01-07T06:31:10.000000","55.179","-3.383","55.757416","-1.068398","56.176414","-5.201064","54.150021","-1.663835","54.564198","-5.630876","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T063043_20230107T063110_046674_059821_A7EA.zip","4322.346139907837","","","0","S1A_IWDV_0408_0414_046674_052","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T175841_20230105T175908_046652_05977B_1C7B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46652","30","172","2023-01-05T17:59:08.000000","2023-01-05T17:58:41.000000","SLC","2023-01-05T17:58:41.000000","2023-01-05T17:59:08.000000","53.6573","-3.0285","52.629776","-4.669174","53.036285","-0.882072","54.24498","-5.235869","54.65535","-1.298334","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T175841_20230105T175908_046652_05977B_1C7B.zip","4338.2169942855835","","","0","S1A_IWDV_0171_0178_046652_030","","","","","","","","","","",""
