"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230114T062323_20230114T062350_046776_059B9B_1798","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","419","2023-01-14T06:23:50.000000","2023-01-14T06:23:23.000000","SLC","2023-01-14T06:23:23.000000","2023-01-14T06:23:50.000000","51.9346","-2.3136","52.524742","-0.180741","52.93441","-3.99038","50.906223","-0.718857","51.31292","-4.390963","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062323_20230114T062350_046776_059B9B_1798.zip","4533.614031791687","","","0","S1A_IWDV_0419_0424_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230114T062257_20230114T062325_046776_059B9B_E3C6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","414","2023-01-14T06:23:25.000000","2023-01-14T06:22:57.000000","SLC","2023-01-14T06:22:57.000000","2023-01-14T06:23:25.000000","53.4439","-1.8616","54.055885","0.361204","54.469627","-3.593826","52.38829","-0.220697","52.79813","-4.020956","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062257_20230114T062325_046776_059B9B_E3C6.zip","4619.409255981445","","","0","S1A_IWDV_0414_0419_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175029_20230112T175056_046754_059AE5_DCFA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","172","2023-01-12T17:50:56.000000","2023-01-12T17:50:29.000000","SLC","2023-01-12T17:50:29.000000","2023-01-12T17:50:56.000000","53.8271","-1.0174","52.803413","-2.659638","53.208885","1.130796","54.411938","-3.226821","54.821331","0.714451","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175029_20230112T175056_046754_059AE5_DCFA.zip","4306.082714080811","","","0","S1A_IWDV_0172_0178_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230110T180635_20230110T180702_046725_0599EF_FFA2","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46725","103","168","2023-01-10T18:07:02.000000","2023-01-10T18:06:35.000000","SLC","2023-01-10T18:06:35.000000","2023-01-10T18:07:02.000000","52.4928","-4.7344","51.470432","-6.331473","51.873978","-2.650249","53.079964","-6.875125","53.486713","-3.054093","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230110T180635_20230110T180702_046725_0599EF_FFA2.zip","4280.840204238892","","","0","S1A_IWDV_0168_0174_046725_103","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T063133_20230107T063200_046674_059821_3B6B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46674","52","418","2023-01-07T06:32:00.000000","2023-01-07T06:31:33.000000","SLC","2023-01-07T06:31:33.000000","2023-01-07T06:32:00.000000","52.1581","-4.3016","52.747154","-2.154239","53.158127","-5.990394","51.12925","-2.696131","51.537125","-6.392787","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T063133_20230107T063200_046674_059821_3B6B.zip","4039.724268913269","","","0","S1A_IWDV_0418_0424_046674_052","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T063107_20230107T063135_046674_059821_B2A8","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46674","52","413","2023-01-07T06:31:35.000000","2023-01-07T06:31:07.000000","SLC","2023-01-07T06:31:07.000000","2023-01-07T06:31:35.000000","53.6675","-3.8518","54.278702","-1.614567","54.693428","-5.595479","52.611374","-2.200753","53.022053","-6.024704","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T063107_20230107T063135_046674_059821_B2A8.zip","4005.2010889053345","","","0","S1A_IWDV_0413_0419_046674_052","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T175841_20230105T175908_046652_05977B_1C7B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46652","30","172","2023-01-05T17:59:08.000000","2023-01-05T17:58:41.000000","SLC","2023-01-05T17:58:41.000000","2023-01-05T17:59:08.000000","53.6573","-3.0285","52.629776","-4.669174","53.036285","-0.882072","54.24498","-5.235869","54.65535","-1.298334","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T175841_20230105T175908_046652_05977B_1C7B.zip","4338.2169942855835","","","0","S1A_IWDV_0171_0178_046652_030","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230105T175815_20230105T175843_046652_05977B_DF65","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46652","30","167","2023-01-05T17:58:43.000000","2023-01-05T17:58:15.000000","SLC","2023-01-05T17:58:15.000000","2023-01-05T17:58:43.000000","52.1478","-2.58","51.096207","-4.159172","51.499962","-0.501727","52.764267","-4.716848","53.171173","-0.917077","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T175815_20230105T175843_046652_05977B_DF65.zip","4633.904817581177","","","0","S1A_IWDV_0166_0173_046652_030","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230102T062324_20230102T062351_046601_0595BA_AF96","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46601","154","419","2023-01-02T06:23:51.000000","2023-01-02T06:23:24.000000","SLC","2023-01-02T06:23:24.000000","2023-01-02T06:23:51.000000","51.9347","-2.3157","52.524433","-0.183011","52.934052","-3.992639","50.906769","-0.720792","51.313419","-4.392956","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230102T062324_20230102T062351_046601_0595BA_AF96.zip","4431.36305141449","","","0","S1A_IWDV_0419_0424_046601_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230102T062258_20230102T062326_046601_0595BA_B013","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46601","154","414","2023-01-02T06:23:26.000000","2023-01-02T06:22:58.000000","SLC","2023-01-02T06:22:58.000000","2023-01-02T06:23:26.000000","53.4438","-1.8639","54.055824","0.358965","54.469521","-3.596079","52.388103","-0.222919","52.797894","-4.023179","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230102T062258_20230102T062326_046601_0595BA_B013.zip","4527.209510803223","","","0","S1A_IWDV_0413_0420_046601_154","","","","","","","","","","",""
